Candidate,Category,Score,Confidence,Experience,Date
Thomas,Cloud,56,76,6,2026-04-13
Hannah,System Design,75,47,10,2026-05-05
Cassandra,Data Science,82,64,2,2026-04-19
Alexandria,System Design,82,89,0,2026-04-30
Selena,Technical,66,86,2,2026-05-12
Cassandra,HR,85,62,10,2026-04-28
Eric,System Design,88,77,9,2026-05-21
Diamond,System Design,97,79,4,2026-04-24
Kathryn,System Design,72,67,8,2026-05-17
Henry,Data Science,63,68,2,2026-05-14
Jose,Data Science,60,78,0,2026-05-05
Cynthia,Data Science,50,95,10,2026-05-14
Carla,Technical,78,62,9,2026-04-18
Dalton,System Design,97,64,7,2026-04-27
Andrew,Cloud,61,57,10,2026-04-24
Victoria,Technical,92,100,7,2026-05-03
Lindsey,Cloud,92,81,7,2026-04-11
Janet,Cloud,61,46,2,2026-05-07
Eric,System Design,67,100,1,2026-05-18
Marie,Data Science,55,88,4,2026-04-17
Hannah,System Design,89,79,9,2026-05-08
Veronica,Technical,82,95,3,2026-05-06
Danny,System Design,92,99,3,2026-05-16
Elizabeth,HR,100,62,3,2026-05-09
Gina,Cloud,56,83,3,2026-05-12
Brian,HR,67,97,3,2026-03-28
John,System Design,97,89,1,2026-04-03
Christopher,HR,93,68,7,2026-05-26
William,Technical,67,57,5,2026-04-02
Steven,Cloud,68,77,0,2026-05-09
Sherry,Cloud,57,63,10,2026-04-17
Chris,HR,64,60,4,2026-05-24
David,System Design,51,97,6,2026-03-31
Christy,System Design,83,96,0,2026-04-15
Julie,Technical,84,72,5,2026-04-15
Bryan,Technical,81,97,6,2026-05-10
Megan,Data Science,93,79,5,2026-04-21
Jasmine,System Design,63,91,5,2026-04-02
Jessica,Data Science,89,73,6,2026-04-13
Anthony,System Design,53,66,10,2026-05-15
Victoria,Cloud,72,57,4,2026-05-04
Michele,Technical,92,53,9,2026-05-04
Michael,Cloud,79,73,9,2026-05-14
Gina,System Design,85,89,5,2026-05-08
Lauren,Cloud,100,59,8,2026-03-31
Michele,Data Science,79,59,3,2026-04-02
Jennifer,Cloud,77,55,3,2026-04-16
Theresa,Technical,55,55,9,2026-05-15
James,HR,91,86,10,2026-04-09
Lisa,Technical,61,87,9,2026-04-23
Amanda,Technical,96,60,0,2026-04-02
Holly,Cloud,90,55,10,2026-04-02
Jared,HR,91,90,9,2026-05-01
Gregory,HR,89,87,8,2026-04-10
John,Data Science,66,52,0,2026-05-14
Lisa,Technical,63,48,4,2026-05-22
Kevin,Technical,55,69,5,2026-04-15
Paula,Cloud,89,88,9,2026-04-26
Candice,Cloud,63,76,3,2026-04-26
Elizabeth,Technical,86,86,8,2026-05-03
Tim,Data Science,71,93,8,2026-04-22
Kimberly,Technical,66,86,6,2026-05-09
Claudia,Technical,95,83,2,2026-04-15
John,Data Science,60,49,2,2026-04-01
Erica,Data Science,59,45,1,2026-04-03
Penny,Technical,59,63,6,2026-04-07
Kathryn,Technical,53,65,4,2026-05-15
Yolanda,System Design,50,97,5,2026-03-31
Jennifer,Data Science,72,99,0,2026-05-20
Theresa,Technical,92,97,2,2026-05-01
Michael,Cloud,72,80,9,2026-05-16
Sergio,Technical,73,52,9,2026-04-02
Susan,Technical,96,67,5,2026-03-30
Morgan,Cloud,56,73,0,2026-05-25
Teresa,Data Science,82,46,8,2026-04-19
Tiffany,HR,92,95,4,2026-05-18
Bradley,Cloud,74,98,1,2026-05-21
Christina,HR,50,55,8,2026-05-24
John,Cloud,72,51,4,2026-05-18
Jose,Cloud,92,99,1,2026-04-29
Robert,System Design,92,89,4,2026-05-01
Jeff,Data Science,81,75,2,2026-05-15
John,Cloud,68,49,7,2026-04-30
Eric,HR,100,61,9,2026-05-25
Chelsea,Technical,73,91,1,2026-05-09
Lisa,Data Science,78,78,9,2026-05-25
Elaine,Cloud,66,90,10,2026-05-06
Jeffrey,Technical,83,92,4,2026-05-16
Bradley,HR,63,76,3,2026-04-03
Monique,Cloud,57,74,2,2026-04-26
Lauren,System Design,93,50,5,2026-05-09
Aaron,Technical,70,63,7,2026-05-11
Michael,System Design,75,47,0,2026-04-07
Lonnie,HR,78,91,0,2026-05-16
Alexis,Data Science,57,76,2,2026-04-24
Michael,Data Science,96,52,6,2026-04-21
Ian,Cloud,79,48,3,2026-05-22
Nicholas,Technical,87,74,2,2026-05-06
Monica,System Design,89,47,7,2026-03-30
Melissa,Data Science,63,80,2,2026-05-11
